admcd	admnm	lon	lat
1154571000	서울특별시 금천구 시흥제5동	126.909	37.449
1156000000	서울특별시 영등포구	126.91	37.517
1156051000	서울특별시 영등포구 영등포제1동	126.91	37.514
1156051500	서울특별시 영등포구 영등포본동	126.91	37.514
1156052000	서울특별시 영등포구 영등포제2동	126.908	37.524
1156053000	서울특별시 영등포구 영등포제3동	126.908	37.524
1156053500	서울특별시 영등포구 영등포동	126.908	37.524
1156054000	서울특별시 영등포구 여의동	126.928	37.529
1156055000	서울특별시 영등포구 당산제1동	126.897	37.524
1156056000	서울특별시 영등포구 당산제2동	126.904	37.533
1156057000	서울특별시 영등포구 도림제1동	126.9	37.509
1156058000	서울특별시 영등포구 도림제2동	126.898	37.509
1156058500	서울특별시 영등포구 도림동	126.9	37.509
1156059000	서울특별시 영등포구 문래제1동	126.892	37.516
1156060000	서울특별시 영등포구 문래제2동	126.892	37.516
1156060500	서울특별시 영등포구 문래동	126.892	37.516
1156061000	서울특별시 영등포구 양평제1동	126.887	37.526
1156062000	서울특별시 영등포구 양평제2동	126.896	37.539
1156063000	서울특별시 영등포구 신길제1동	126.92	37.513
1156064000	서울특별시 영등포구 신길제2동	126.91	37.514
1156065000	서울특별시 영등포구 신길제3동	126.906	37.507
1156066000	서울특별시 영등포구 신길제4동	126.913	37.508
1156067000	서울특별시 영등포구 신길제5동	126.906	37.501
1156068000	서울특별시 영등포구 신길제6동	126.914	37.498
1156069000	서울특별시 영등포구 신길제7동	126.922	37.508
1156070000	서울특별시 영등포구 대림제1동	126.905	37.493
1156071000	서울특별시 영등포구 대림제2동	126.9	37.49
1156072000	서울특별시 영등포구 대림제3동	126.897	37.5
1159000000	서울특별시 동작구	126.952	37.498
1159051000	서울특별시 동작구 노량진제1동	126.951	37.513
1159052000	서울특별시 동작구 노량진제2동	126.937	37.511
1159053000	서울특별시 동작구 상도제1동	126.952	37.5
1159054000	서울특별시 동작구 상도제2동	126.941	37.503
1159055000	서울특별시 동작구 상도제3동	126.932	37.498
1159056000	서울특별시 동작구 상도제4동	126.941	37.498
1159056100	서울특별시 동작구 상도제5동	126.952	37.5
1159057000	서울특별시 동작구 본동	126.951	37.513
1159058000	서울특별시 동작구 흑석제1동	126.963	37.505
1159059000	서울특별시 동작구 흑석제2동	126.963	37.505
1159060000	서울특별시 동작구 흑석제3동	126.964	37.504
1159060500	서울특별시 동작구 흑석동	126.963	37.505
1159061000	서울특별시 동작구 동작동	126.974	37.498
1159062000	서울특별시 동작구 사당제1동	126.978	37.48
